date,height,highlow
06/23/2018 11:33 PM,0.94,H
06/24/2018 05:21 AM,-0.12,L
06/24/2018 01:22 PM,2.04,H
06/24/2018 07:58 PM,0.5,L
06/25/2018 12:17 AM,0.84,H
06/25/2018 05:52 AM,-0.14,L
06/25/2018 01:56 PM,2.15,H
06/25/2018 08:39 PM,0.44,L
06/26/2018 12:59 AM,0.78,H
06/26/2018 06:24 AM,-0.15,L
06/26/2018 02:28 PM,2.22,H
06/26/2018 09:14 PM,0.4,L
06/27/2018 01:38 AM,0.74,H
06/27/2018 06:57 AM,-0.14,L
06/27/2018 03:01 PM,2.25,H
06/27/2018 09:46 PM,0.37,L
06/28/2018 02:16 AM,0.72,H
06/28/2018 07:32 AM,-0.12,L
